Country;crime_index;eco_EPI_score_2016;education;aggregated_score_freedom;health_index;personal_income_tax
Afghanistan;108;5;15;16;63;8
Albania;56;103;124;53;88;11
Algeria;71;83;60;26;76;21
Andorra;4;80;100;82;94;10
Angola;100;33;16;16;49;6
Antigua and Barbuda;30;50;60;68;86;1
Argentina;95;120;73;64;87;21
Armenia;52;126;115;35;84;23
Australia;47;149;127;84;96;30
Austria;4;144;122;81;94;41
Azerbaijan;51;132;111;9;78;13
Bahamas;50;80;90;78;85;1
Bahrain;30;80;79;7;87;1
Bangladesh;102;8;88;37;78;17
Barbados;35;37;112;84;85;20
Belarus;9;128;130;10;77;3
Belgium;57;122;116;82;93;40
Belize;60;97;57;72;83;22
Benin;20;14;32;68;61;2
Bhutan;3;60;91;43;74;1
Bolivia;91;90;56;54;73;3
Bosnia and Herzegovina;2;51;88;44;87;2
Botswana;89;87;98;59;68;13
Brazil;105;117;42;67;83;15
Brunei;1;70;90;20;90;1
Bulgaria;42;130;74;66;82;2
Burkina Faso;20;15;11;45;56;2
Burundi;22;12;4;12;53;3
Cambodia;85;32;40;23;80;8
Cameroon;18;41;10;16;54;21
Canada;39;137;120;85;95;19
Cape Verde;1;35;46;76;85;2
Central African Republic;48;21;7;56;46;10
Chad;50;6;24;14;48;46
Chile;66;111;80;81;92;27
China;27;61;76;9;85;30
Colombia;80;107;101;50;83;19
Comoros;50;27;21;42;63;2
Congo. Democratic Republic of (Kinshasa);56;80;80;17;46;7
Congo. Republic of (Brazzaville);58;77;70;19;46;8
Costa Rica;87;121;85;76;92;4
Crimea *;60;100;100;75;47;7
Croatia;17;147;120;72;88;32
Cuba;20;118;102;8;91;5
Cyprus;25;123;129;80;92;21
Czech Republic;20;136;107;81;89;4
Cƒ?te d'Ivoire;40;60;60;38;47;20
Denmark;8;158;81;84;91;42
Djibouti;12;16;51;19;64;20
Dominica;80;95;77;81;89;15
Dominican Republic;94;106;55;57;82;13
Ecuador;76;66;23;45;87;21
Egypt;81;65;60;18;78;10
El Salvador;107;71;63;55;81;17
Equatorial Guinea;82;77;34;65;51;21
Eritrea;40;2;44;21;66;9
Estonia;11;154;95;80;84;8
Ethiopia;70;17;52;8;67;21
Fiji;86;105;128;49;77;8
Finland;14;161;132;4;93;38
France;54;152;110;77;95;37
Gabon;45;69;12;25;67;21
Gambia. The;41;60;40;11;60;4
Gaza Strip *;30;15;44;6;63;12
Georgia;6;59;119;51;84;8
Germany;24;133;109;81;94;33
Ghana;65;45;92;69;63;13
Greece;43;141;86;69;94;34
Grenada;46;51;59;74;81;20
Guatemala;92;78;61;41;80;47
Guinea;40;38;3;31;56;27
Guinea-Bissau;38;25;22;29;53;13
Guyana;50;91;65;60;71;21
Haiti;26;11;19;32;66;22
Honduras;110;78;31;34;83;13
Hong Kong *;1;77;79;50;98;30
Hungary;34;135;113;64;84;4
Iceland;16;160;126;4;96;31
India;55;36;45;62;71;22
Indian Kashmir *;60;20;66;38;69;20
Indonesia;72;63;54;52;78;17
